id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
34,Bífidus,Bífidus desnatado con nueces y cereales Hacendado 0% m.g.,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/a33f37143476a71a09c5e90074d44ed4.jpg?fit=crop&h=300&w=300,
35,Bífidus,Bífidus desnatado probiótico con kiwi Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/ccf5ee79a291a702ed8aff28a15560ae.jpg?fit=crop&h=300&w=300,
36,Bífidus,Bífidus cremoso desnatado Tropical Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/125b62b3a8645ae4be88258d3a3424c4.jpg?fit=crop&h=300&w=300,
37,Bífidus,Bífidus desnatado probiótico con frutos silvestres Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/a39c6e7f1ed88ce6e162d74517cd7ef3.jpg?fit=crop&h=300&w=300,
38,Bífidus,Bífidus probiótico con cereales y fibras Hacendado,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/38dfa421d4c979856977abbf11f61b3c.jpg?fit=crop&h=300&w=300,
39,Bífidus,Bífidus desnatado probiótico con piña Hacendado 0% m.g. 0% sin azúcares añadidos,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/a09518ff022f5fd83d57619ef2701443.jpg?fit=crop&h=300&w=300,
40,Bífidus,Bífidus desnatado probiótico con pera Hacendado 0% m.g. 0% azúcares añadidos,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/71cafc4927c9287cf0f3bd6f56e19562.jpg?fit=crop&h=300&w=300,
41,Bífidus,Bífidus probiótico con mango Hacendado,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/60c48a9728fdff8f4b2b3aa822115213.jpg?fit=crop&h=300&w=300,
42,Bífidus,Bífidus probiótico con ciruelas pasas Hacendado,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/25decb781a3798d0ffa30f5c81c21225.jpg?fit=crop&h=300&w=300,
43,Bífidus,Bífidus cremoso probiótico con coco Hacendado,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/f6b0fab2c9355ac10e3642ecf08204fe.jpg?fit=crop&h=300&w=300,
44,Bífidus,Bífidus desnatado natural Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,1.15,,https://prod-mercadona.imgix.net/images/280e4cbf57833fc0b503c851de81a2b1.jpg?fit=crop&h=300&w=300,
45,Bífidus,Bífidus cremoso desnatado natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,1.4,,https://prod-mercadona.imgix.net/images/232daff5d8eb870e472387812f320f7c.jpg?fit=crop&h=300&w=300,
46,Bífidus,Bífidus desnatado natural edulcorado Activia zero m.g.,8 ud. x 120 g,3.5,"3,50 €",https://prod-mercadona.imgix.net/images/c15e1f2b38afc3f04c5bc0d60f0f3e6d.jpg?fit=crop&h=300&w=300,
47,Bífidus,Bífidus natural Hacendado,6 ud. x 125 g,1.2,,https://prod-mercadona.imgix.net/images/ff18da31e7d503f266b37e4e7f652f38.jpg?fit=crop&h=300&w=300,
48,Bífidus,Bífidus desnatado natural Activia zero m.g.,8 ud. x 120 g,3.5,"3,50 €",https://prod-mercadona.imgix.net/images/5503c0081f32067decd11eee17bc72be.jpg?fit=crop&h=300&w=300,
49,Bífidus,Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas,Tarrina 170 g,1.15,,https://prod-mercadona.imgix.net/images/57eb27c83b66f0ba50b171a8ee1fb023.jpg?fit=crop&h=300&w=300,
50,Bífidus,"Bífidus natural probiótico Hacendado con coco, almendras y chocolate",Tarrina 180 g,1.2,,https://prod-mercadona.imgix.net/images/71555a4800b432e08ef75ff1dad021a6.jpg?fit=crop&h=300&w=300,
51,Postres de soja,Postre de soja Hacendado sabor chocolate,4 ud. x 100 g,1.55,,https://prod-mercadona.imgix.net/images/468346ff431f9b07d6974bc7d86d7682.jpg?fit=crop&h=300&w=300,
52,Postres de soja,Postre de soja Hacendado sabor vainilla,4 ud. x 100 g,1.45,,https://prod-mercadona.imgix.net/images/d16a7fe3564a44676e5a429ba11b2a97.jpg?fit=crop&h=300&w=300,
53,Postres de soja,Postre de soja sabor mango Alpro sin azúcares añadidos,Bote 400 g,2.6,,https://prod-mercadona.imgix.net/images/3e72ea713a8ca99510c53314ab79ac20.jpg?fit=crop&h=300&w=300,
54,Postres de soja,Postre de soja Hacendado natural,4 ud. x 100 g,1.2,,https://prod-mercadona.imgix.net/images/951718d16468bd7622785bc9732bb43a.jpg?fit=crop&h=300&w=300,
55,Postres de soja,Postre de soja sabor lima limón Alpro,Bote 400 g,2.3,,https://prod-mercadona.imgix.net/images/6245a9213d5e296eb89c71c45dce1173.jpg?fit=crop&h=300&w=300,
56,Yogures y postres infantiles,Petit de bolsillo de fresa Hacendado,Caja 4 ud. (360 g),1.7,,https://prod-mercadona.imgix.net/images/1e81ea84693b81132bc68b1c8000ec43.jpg?fit=crop&h=300&w=300,
57,Yogures y postres infantiles,Danonino sabor fresa Danone,6 ud. x 50 g,1.35,"1,35 €",https://prod-mercadona.imgix.net/images/e82093b0b187272b72050dd3de16f81d.jpg?fit=crop&h=300&w=300,
58,Yogures y postres infantiles,Danonino sabor fresa y plátano Danone,6 ud. x 50 g,1.35,"1,35 €",https://prod-mercadona.imgix.net/images/87fe37417c6d7176175c21eae4f23b15.jpg?fit=crop&h=300&w=300,
59,Yogures y postres infantiles,Petit sabores Hacendado,12 ud. x 60 g,1.5,,https://prod-mercadona.imgix.net/images/db331b2e61d371272cea030ea49101f3.jpg?fit=crop&h=300&w=300,
60,Yogures y postres infantiles,Petit Nesquik Nestlé,6 ud. x 60 g,1.85,,https://prod-mercadona.imgix.net/images/f819e859580812aa746ae8e2f2c91aa6.jpg?fit=crop&h=300&w=300,
61,Yogures y postres infantiles,Postre lácteo infantil de fresa y plátano Hacendado +8 meses,1 ud. (100 g),0.95,,https://prod-mercadona.imgix.net/images/009536a37d447e65621782ae12398d36.jpg?fit=crop&h=300&w=300,
62,Yogures y postres infantiles,Postre lácteo infantil de galleta Hacendado +8 meses,1 ud. (100 g),0.95,,https://prod-mercadona.imgix.net/images/ca8f764f951205b8fdd07892775b14ed.jpg?fit=crop&h=300&w=300,
63,Yogures y postres infantiles,Postre lácteo infantil de cereales y miel Hacendado +12 meses,1 ud. (100 g),0.95,,https://prod-mercadona.imgix.net/images/bcc110433c7462dfc24e8e901379b3c7.jpg?fit=crop&h=300&w=300,
64,Yogures líquidos,Yogur líquido de fresa Hacendado,12 mini botellas x 100 g,1.95,,https://prod-mercadona.imgix.net/images/5246df6b92d37bf788da3733179e8d3a.jpg?fit=crop&h=300&w=300,
65,Yogures líquidos,Bebida láctea de fresa y plátano Hacendado,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/a4a866cae37a8bd6b92746f8a36c8be3.jpg?fit=crop&h=300&w=300,
66,Yogures líquidos,Yogur líquido desnatado de Fresa Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/fb572b532c7e0917c761ee16b6f5367d.jpg?fit=crop&h=300&w=300,
67,Yogures líquidos,Bebida láctea de fresa Hacendado,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/fe02631a74c78e85cfa61a76f3a80dc5.jpg?fit=crop&h=300&w=300,
68,Yogures líquidos,Bebida láctea de piña y coco Hacendado,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/65ca5e0cbd5a1f0deed60a449fed62d9.jpg?fit=crop&h=300&w=300,
69,Yogures líquidos,Bebida láctea de frutas del bosque Hacendado,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/2958a31bef0535fa62335fb1e1213471.jpg?fit=crop&h=300&w=300,
70,Yogures líquidos,Yogur líquido natural Hacendado con azúcar de caña,12 mini botellas x 100 g,1.95,,https://prod-mercadona.imgix.net/images/b2f3d2bd1ac52ac87c90effa1d4926b4.jpg?fit=crop&h=300&w=300,
71,Yogures líquidos,Yogur líquido desnatado Piña y Coco Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/c9343e1589787d49d2694294f7410f85.jpg?fit=crop&h=300&w=300,
72,Yogures líquidos,Yogur líquido desnatado Frutos Silvestres Hacendado 0% m.g 0% sin azúcares añadidos,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/9cccfe42d4e1a4c7fde6343f9a36552a.jpg?fit=crop&h=300&w=300,
73,Yogures líquidos,Bebida láctea natural azucarada Hacendado,Botella 1 kg,1.4,,https://prod-mercadona.imgix.net/images/8761b9c14379e95faf67971a4d59eed4.jpg?fit=crop&h=300&w=300,
74,Yogures líquidos,Bebida láctea desnatada sabor fresa +Proteínas Hacendado 0% m.g 20 g proteínas,Botella 280 g,1.15,,https://prod-mercadona.imgix.net/images/2bf63256a9cde6b71c7dbd55d938a26b.jpg?fit=crop&h=300&w=300,
75,Yogures líquidos,Batido lácteo sabor chocolate +Proteínas Hacendado 30 g proteínas,Brick 330 ml,1.2,,https://prod-mercadona.imgix.net/images/b63e928015e60f829e074865adf560e2.jpg?fit=crop&h=300&w=300,
76,Yogures líquidos,Batido lácteo sabor vainilla +Proteínas Hacendado 30 g proteínas,Brick 330 ml,1.2,,https://prod-mercadona.imgix.net/images/c5a6d2a6577734370f8d2ef25f111fb6.jpg?fit=crop&h=300&w=300,
77,Yogures líquidos,Bebida láctea desnatada sabor tropical +Proteínas Hacendado 0% m.g 20 g proteínas,Botella 280 g,1.15,,https://prod-mercadona.imgix.net/images/6d63b54fb498fca61d17cd1275374a5d.jpg?fit=crop&h=300&w=300,
78,Yogures líquidos,Bebida láctea desnatada +Proteínas sabor açaí plátano Hacendado 0% m.g 20 g proteínas,Botella 280 g,1.15,,https://prod-mercadona.imgix.net/images/45cbdcea0cc31579bda66963bccf9177.jpg?fit=crop&h=300&w=300,
79,Yogures líquidos,Bebida láctea de fresa L-casei,12 mini botellas x 100 g,2.25,,https://prod-mercadona.imgix.net/images/9c7d08f4cd907634b37b06930d54c849.jpg?fit=crop&h=300&w=300,
80,Yogures líquidos,Bebida láctea sabores L-casei,12 mini botellas x 100 g,2.25,,https://prod-mercadona.imgix.net/images/9f2d626dbaee57ccf4f5de0422cbfa7e.jpg?fit=crop&h=300&w=300,
81,Yogures líquidos,Bebida láctea natural azucarada L-casei,12 mini botellas x 100 g,2.25,,https://prod-mercadona.imgix.net/images/43396599daa9da5ce9ab7b9ab5ec1a18.jpg?fit=crop&h=300&w=300,
82,Yogures líquidos,Bebida láctea de fresa L-casei 0% m.g 0% azúcares añadidos,6 mini botellas x 100 g,1.55,,https://prod-mercadona.imgix.net/images/d15b5044159fcb555e5889179f9dbf17.jpg?fit=crop&h=300&w=300,
83,Yogures líquidos,Bebida láctea natural Actimel,12 mini botellas x 100 g,5.79,,https://prod-mercadona.imgix.net/images/a6ee74167e1bf10b3ad2a95361af0644.jpg?fit=crop&h=300&w=300,
84,Yogures líquidos,Bebida láctea natural L-casei 0% m.g 0% azúcares añadidos,6 mini botellas x 100 g,1.55,,https://prod-mercadona.imgix.net/images/c1737e1bccd4a2eaafb9b213e6c5d98d.jpg?fit=crop&h=300&w=300,
85,Yogures líquidos,Bebida láctea natural Actimel 0% m.g,12 mini botellas x 100 g,5.79,,https://prod-mercadona.imgix.net/images/e3bd057345f26982d40b11804e17dd83.jpg?fit=crop&h=300&w=300,
86,Yogures líquidos,Bebida láctea de fresa Cuidacol 0% azúcares añadidos,8 mini botellas x 100 g,2.5,,https://prod-mercadona.imgix.net/images/2e3baee6dc65fb2ca478a3896339a5e2.jpg?fit=crop&h=300&w=300,
87,Yogures líquidos,Bebida láctea de fresa Danacol 0% azúcares añadidos,10 mini botellas x 100 g,5.45,"5,45 €",https://prod-mercadona.imgix.net/images/db4c3f48a494ac8e9d8bebb097766bf6.jpg?fit=crop&h=300&w=300,
88,Yogures líquidos,Bebida láctea natural Danacol 0% azúcares añadidos,10 mini botellas x 100 g,5.45,"5,45 €",https://prod-mercadona.imgix.net/images/2ec431d9171081a9496b5e6d7404a090.jpg?fit=crop&h=300&w=300,
89,Yogures líquidos,Bebida láctea tropical Danacol 0% azúcares añadidos,10 mini botellas x 100 g,5.45,"5,45 €",https://prod-mercadona.imgix.net/images/90829a1e5afdb339c51ad1a55bcac665.jpg?fit=crop&h=300&w=300,
90,Yogures líquidos,Bebida láctea natural Cuidacol 0% azúcares añadidos,8 mini botellas x 100 g,2.5,,https://prod-mercadona.imgix.net/images/003c279ea82a48d9bc568be3a09baeb5.jpg?fit=crop&h=300&w=300,
91,Yogures líquidos,Bebida Kéfir de coco Hacendado,Botella 250 g,1.1,,https://prod-mercadona.imgix.net/images/9ce6b7cf5fec6c14b1c25c6f142a3d07.jpg?fit=crop&h=300&w=300,
92,Yogures líquidos,Bebida Kéfir natural Hacendado 0% m.g,Botella 250 g,0.85,,https://prod-mercadona.imgix.net/images/700d23ea10748add9c31d5cfdb308633.jpg?fit=crop&h=300&w=300,
93,Yogures líquidos,Bebida Kéfir de fresa y plátano Hacendado,Botella 250 g,0.85,,https://prod-mercadona.imgix.net/images/dd289147f3d6ee7437c4a9b701adf6ec.jpg?fit=crop&h=300&w=300,
94,Yogures griegos,Yogur griego natural Hacendado,6 ud. x 125 g,1.5,,https://prod-mercadona.imgix.net/images/d6966c24454f93188b445b5435173780.jpg?fit=crop&h=300&w=300,
95,Yogures griegos,Yogur griego stracciatella Hacendado,6 ud. x 125 g,1.8,,https://prod-mercadona.imgix.net/images/615e6d76975249ddfaae1e619b8fe653.jpg?fit=crop&h=300&w=300,
96,Yogures griegos,Yogur griego sabor fresa Hacendado sin trozos,6 ud. x 125 g,1.7,,https://prod-mercadona.imgix.net/images/6940a5f2344e8bec96b108757e9ae369.jpg?fit=crop&h=300&w=300,
97,Yogures griegos,Yogur griego natural Hacendado,Bote 1 kg,2.3,,https://prod-mercadona.imgix.net/images/2b8874dc62c81aa7e8cade5cd915c85c.jpg?fit=crop&h=300&w=300,
98,Yogures griegos,Yogur griego con fresa Hacendado,4 ud. x 125 g,1.65,,https://prod-mercadona.imgix.net/images/b29dc5a2d14ea30be4abaf8d43f48968.jpg?fit=crop&h=300&w=300,
99,Yogures griegos,Yogur griego natural Hacendado con azúcar de caña,6 ud. x 125 g,1.55,,https://prod-mercadona.imgix.net/images/0650e7eb0fd44c34187f16d22de03c11.jpg?fit=crop&h=300&w=300,
100,Yogures griegos,Yogur griego con mango Hacendado,4 ud. x 125 g,1.65,,https://prod-mercadona.imgix.net/images/8e5c6a11713d9cb99dee77a13e49f9b0.jpg?fit=crop&h=300&w=300,
101,Yogures griegos,Yogur griego ligero natural Hacendado 2% m.g,Bote 1 kg,2.3,,https://prod-mercadona.imgix.net/images/1701839ec6b385a09f2731edce3b5c31.jpg?fit=crop&h=300&w=300,
102,Yogures griegos,Yogur griego ligero natural Hacendado,6 ud. x 125 g,1.5,,https://prod-mercadona.imgix.net/images/19c69dcfd4067f7c54078d2c55d98644.jpg?fit=crop&h=300&w=300,
103,Yogures griegos,Yogur griego sabor limón Hacendado,6 ud. x 125 g,1.7,,https://prod-mercadona.imgix.net/images/168cf0abbe21bc927fd75f74c648bd65.jpg?fit=crop&h=300&w=300,
104,Flan y natillas,Flan de vainilla con caramelo Hacendado,6 ud. x 100 g,1.1,,https://prod-mercadona.imgix.net/images/a12e4b298aeaaed778b1effd7c8b844e.jpg?fit=crop&h=300&w=300,
105,Flan y natillas,Flan de huevo Hacendado,9 ud. x 100 g,3.4,,https://prod-mercadona.imgix.net/images/199ab9f60aad99815900b1187b437a49.jpg?fit=crop&h=300&w=300,
106,Flan y natillas,Flan de huevo Hacendado,4 ud. x 100 g,1.5,,https://prod-mercadona.imgix.net/images/98f04d6420e913d98a93a0668b90afc3.jpg?fit=crop&h=300&w=300,
107,Flan y natillas,Flan de café Hacendado,4 ud. x 100 g,1.85,,https://prod-mercadona.imgix.net/images/81f6c2485bf89afe346e9b7928c7edf4.jpg?fit=crop&h=300&w=300,
108,Flan y natillas,Flan de queso Hacendado,4 ud. x 100 g,2.0,,https://prod-mercadona.imgix.net/images/85ac84320e84357a7c296a0dc8db21aa.jpg?fit=crop&h=300&w=300,
109,Flan y natillas,Flan de huevo sin azúcares añadidos Hacendado,4 ud. x 100 g,1.8,,https://prod-mercadona.imgix.net/images/81e560049acb95ebffd2d0a40beec0aa.jpg?fit=crop&h=300&w=300,
110,Flan y natillas,Flan de huevo +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 100 g,2.0,,https://prod-mercadona.imgix.net/images/4826971dcdd4bc118e5ee2580052a49d.jpg?fit=crop&h=300&w=300,
111,Flan y natillas,Natillas sabor vainilla Hacendado,4 ud. x 125 g,1.05,,https://prod-mercadona.imgix.net/images/b189eabedf2ba4d7e0c901306f465e92.jpg?fit=crop&h=300&w=300,
112,Flan y natillas,Natillas sabor vainilla con galleta Hacendado,4 ud. x 125 g,1.25,,https://prod-mercadona.imgix.net/images/91b637de3f473e48be71cfee0693a3a3.jpg?fit=crop&h=300&w=300,
113,Flan y natillas,Natillas de chocolate con leche Hacendado,4 ud. x 125 g,1.05,,https://prod-mercadona.imgix.net/images/e054a3faa656994ccf74583bfc8e11b3.jpg?fit=crop&h=300&w=300,
114,Flan y natillas,Natillas de vainilla Danet,4 ud. x 120 g,2.0,,https://prod-mercadona.imgix.net/images/90773d5ffa47a10f02da796472ecc91a.jpg?fit=crop&h=300&w=300,
115,Flan y natillas,Natillas de chocolate Danet,4 ud. x 120 g,2.0,,https://prod-mercadona.imgix.net/images/492c04a070fe43c5c272cb4879e11fbe.jpg?fit=crop&h=300&w=300,
116,Flan y natillas,Natillas sabor vainilla +Proteínas Hacendado 12 g proteínas,4 ud. x 120 g,1.75,,https://prod-mercadona.imgix.net/images/403d8051a4c86676bfd5d8784a6cd76f.jpg?fit=crop&h=300&w=300,
117,Flan y natillas,"Natillas con chocolate +Proteínas Hacendado 1,3 g m.g 10 g proteínas",4 ud. x 120 g,1.75,,https://prod-mercadona.imgix.net/images/a771655436d3ee8093d88e5e68b8a851.jpg?fit=crop&h=300&w=300,
118,Gelatina y otros postres,Gelatina sabor fresa Hacendado,6 ud. x 100 g,1.0,,https://prod-mercadona.imgix.net/images/ed9e075eb696bab404282ed7088d42db.jpg?fit=crop&h=300&w=300,
119,Gelatina y otros postres,Gelatina sabor a frutos silvestres +Proteínas Hacendado 10 g proteínas 0% azúcar,4 ud. x 100 g,1.55,,https://prod-mercadona.imgix.net/images/5c50c837dc5cd5e8efe4425971c2cf83.jpg?fit=crop&h=300&w=300,
120,Gelatina y otros postres,"Gelatina 0% azúcar sabores fresa, mandarina y limón Hacendado",6 ud. x 100 g,1.0,,https://prod-mercadona.imgix.net/images/5241a91d73e1277f5ee5a309ba5d0036.jpg?fit=crop&h=300&w=300,
121,Gelatina y otros postres,"Gelatina sabores mango, maracuyá y piña Hacendado",6 ud. x 100 g,1.0,,https://prod-mercadona.imgix.net/images/4136cfb6f20d6ede0bef2827a6bb8422.jpg?fit=crop&h=300&w=300,
122,Gelatina y otros postres,"Gelatina 0% azúcar sabor cereza, cola y sandía Hacendado",6 ud. x 100 g,1.0,,https://prod-mercadona.imgix.net/images/c58199eaef14c038202fda1e5f1d3198.jpg?fit=crop&h=300&w=300,
123,Gelatina y otros postres,Copa crema de chocolate y nata Hacendado,4 ud. x 115 g,1.35,,https://prod-mercadona.imgix.net/images/86a9e3679a7856065692ddd588347a54.jpg?fit=crop&h=300&w=300,
124,Gelatina y otros postres,Arroz con leche Hacendado,4 ud. x 130 g,1.35,,https://prod-mercadona.imgix.net/images/ecd6886e214a2cc49c2738e7155c1a48.jpg?fit=crop&h=300&w=300,
125,Gelatina y otros postres,Mousse de chocolate Hacendado,"4 ud. x 62,5 g",1.15,,https://prod-mercadona.imgix.net/images/b103529ace8d403d618d4424df6465b5.jpg?fit=crop&h=300&w=300,
